ID.vect,loc,dead.date,inf.by,infected.date,Infec.pop,alive,EIP50
M-GP-1,GP,24,H-1,5,0.35243586392158843,FALSE,7.6544613083770825
M-GP-2,GP,19,H-1,7,0.48195453075258904,FALSE,6.682278198165336
M-GP-3,GP,24,H-1,8,0.44986389579990715,FALSE,Inf
M-GP-4,GP,32,H-2,26,0.253278981508529,FALSE,6.457617605034804
M-GP-5,GP,32,H-3,27,0.44963648845202553,FALSE,5.3743439719395525
M-GP-6,GP,45,H-3,29,0.25874092141272476,FALSE,6.495569522291318
M-GP-7,GP,52,H-6,44,0.2272816824375894,FALSE,7.253193584101067
M-GP-8,GP,58,H-6,45,0.372678161269197,FALSE,6.954739084400926
M-MQ-9,MQ,55,H-6,47,0.5681567112073531,FALSE,Inf
M-GP-10,GP,109,H-5,48,0.43435033353401337,FALSE,7.023011665403301
M-GP-11,GP,55,H-6,48,0.5519960633349004,FALSE,7.2999298602920355
M-US-12,US,89,H-7,53,0.356776138003295,FALSE,Inf
M-MQ-13,MQ,66,H-8,62,0.4965388198011813,FALSE,7.428022454135752
M-GP-14,GP,70,H-9,62,0.4279595502265862,FALSE,Inf
M-GP-15,GP,71,H-10,62,0.3807265599261838,FALSE,5.6286314060597995
M-GF-16,GF,72,H-9,63,0.5297667253399317,FALSE,7.072388504602114
M-GP-17,GP,66,H-10,63,0.4948881229921889,FALSE,6.724609532101798
M-MQ-18,MQ,75,H-8,64,0.48482165257259774,FALSE,7.705442114710434
M-GP-19,GP,69,H-10,64,0.5468867844248436,FALSE,7.717995300535367
M-GP-20,GP,70,H-12,64,0.12892582899665145,FALSE,7.673255606414208
M-GF-21,GF,75,H-9,65,0.5012611443766744,FALSE,5.943986741913958
M-GP-22,GP,72,H-10,65,0.528060043581122,FALSE,6.952694482172523
M-GP-23,GP,80,H-10,67,0.36335678155900786,FALSE,6.978024573371991
M-GP-24,GP,86,H-11,67,0.36018496742008366,FALSE,5.588123562228163
M-MQ-25,MQ,75,H-14,67,0.1020876942274263,FALSE,6.921248673975336
M-GP-26,GP,72,H-13,69,0.48318286032841945,FALSE,Inf
M-MQ-27,MQ,76,H-10,70,0.1262451489741948,FALSE,7.932707000732387
M-GP-28,GP,73,H-11,70,0.3377765237377116,FALSE,7.2041642790451625
M-GP-29,GP,80,H-12,70,0.5762061287076281,FALSE,6.435121997053155
M-GP-30,GP,86,H-11,72,0.1770977381185873,FALSE,7.475850694650477
M-MQ-31,MQ,85,H-13,72,0.5048423741783312,FALSE,7.3797537689006605
M-MQ-32,MQ,88,H-14,72,0.5607907185570145,FALSE,Inf
M-GP-33,GP,84,H-15,73,0.4351642100047369,FALSE,6.368186500662878
M-GP-34,GP,96,H-12,74,0.18227558251409925,FALSE,5.842334445271789
M-MQ-35,MQ,80,H-14,75,0.3590831050692689,FALSE,Inf
M-GP-36,GP,98,H-15,75,0.5872451666307444,FALSE,7.55826718761819
M-GF-37,GF,106,H-18,76,0.38665091039613747,FALSE,6.227553116258843
M-MQ-38,MQ,108,H-20,76,0.1561505987721319,FALSE,8.717378330435883
M-MQ-39,MQ,86,H-13,77,0.10083898683760495,FALSE,Inf
M-GP-40,GP,88,H-15,77,0.4997697154426972,FALSE,Inf
M-GP-41,GP,81,H-16,77,0.5185756592521052,FALSE,7.230596431261512
M-GP-42,GP,90,H-19,77,0.4495316546386696,FALSE,7.642480131743733
M-MQ-43,MQ,81,H-14,78,0.12291108325162248,FALSE,7.337432679233292
M-MQ-44,MQ,95,H-19,78,0.5283148815593787,FALSE,6.469224464722307
M-MQ-45,MQ,86,H-21,78,0.5034656464338303,FALSE,7.767528867509063
M-GP-46,GP,84,H-16,79,0.3210733925729531,FALSE,Inf
M-MQ-47,MQ,88,H-19,80,0.4834728862282447,FALSE,7.945502259589764
M-MQ-48,MQ,89,H-20,80,0.43440358416036084,FALSE,6.940426230273166
M-GF-49,GF,91,H-18,81,0.3299083408455491,FALSE,8.154282221123974
M-MQ-50,MQ,84,H-19,81,0.39423769515641227,FALSE,7.2871489477210645
M-MQ-51,MQ,85,H-17,82,0.07896926429693396,FALSE,6.957164990404642
M-US-52,US,100,H-23,84,0.6275080243705349,FALSE,6.9039508938437955
M-MQ-53,MQ,99,H-21,85,0.19039107990198045,FALSE,6.844177661475151
M-GP-54,GP,103,H-26,86,0.4953067618786174,FALSE,6.9667903897148475
M-MQ-55,MQ,97,H-29,87,0.5236952036771286,FALSE,7.2512176898574285
M-MQ-56,MQ,95,H-29,88,0.6153498113907973,FALSE,6.505372792806445
M-MQ-57,MQ,90,H-39,88,0.14538566501890154,FALSE,7.218616371190162
M-GP-58,GP,105,H-28,89,0.510729817237316,FALSE,6.836547413448697
M-MQ-59,MQ,105,H-33,89,0.3256054732107329,FALSE,5.158157900161212
M-MQ-60,MQ,109,H-39,89,0.2789631228206422,FALSE,6.677207673330977
M-CU-61,CU,97,H-24,90,0.17168079918909207,FALSE,7.033724086699868
M-GP-62,GP,94,H-35,90,0.48995856425127465,FALSE,8.088666617119022
M-GP-63,GP,133,H-34,91,0.44878252354836795,FALSE,Inf
M-MQ-64,MQ,117,H-38,91,0.490149532128173,FALSE,7.54828464138154
M-MQ-65,MQ,113,H-39,91,0.5633176214005515,FALSE,7.5898018208976445
M-GP-66,GP,99,H-26,92,0.11114421734239899,FALSE,7.31510343280953
M-MQ-67,MQ,96,H-36,92,0.43765913674118045,FALSE,Inf
M-MQ-68,MQ,122,H-38,92,0.5169510723314524,FALSE,7.145111360002789
M-MQ-69,MQ,99,H-39,92,0.6071902362744956,FALSE,7.310841638351995
M-GP-70,GP,108,H-41,92,0.4683727277141496,FALSE,7.918815986808524
M-MQ-71,MQ,110,H-32,93,0.3669581342408257,FALSE,7.53755723033976
M-MQ-72,MQ,107,H-39,93,0.574745416928474,FALSE,6.810493546105462
M-MQ-73,MQ,108,H-40,93,0.49570368061251974,FALSE,6.668867216225838
M-MQ-74,MQ,97,H-31,94,0.16681628030170392,FALSE,6.827694907995322
M-GP-75,GP,99,H-35,94,0.3343531200907949,FALSE,7.305739489717322
M-MQ-76,MQ,104,H-36,94,0.41966189556675915,FALSE,Inf
M-GP-77,GP,100,H-37,94,0.3305561040642727,FALSE,7.38948751895317
M-MQ-78,MQ,116,H-43,94,0.40734171687716547,FALSE,6.415346677155878
M-GF-79,GF,103,H-48,94,0.29964953654828314,FALSE,6.908065921014196
M-GP-80,GP,104,H-37,95,0.24777422121874781,FALSE,6.930807013543476
M-MQ-81,MQ,102,H-43,95,0.46369035226011623,FALSE,7.557460493491406
M-MQ-82,MQ,124,H-49,95,0.6036755953733126,FALSE,7.0490182055970605
M-MQ-83,MQ,101,H-29,96,0.07696011297741567,FALSE,6.776493890214304
M-MQ-84,MQ,104,H-43,96,0.44904369636626096,FALSE,5.819485205888191
M-GP-85,GP,119,H-44,96,0.5810214167254281,FALSE,Inf
M-GP-86,GP,99,H-45,96,0.39052263273010335,FALSE,6.489300355235048
M-MQ-87,MQ,106,H-46,96,0.2939833519173577,FALSE,6.737516941889522
M-MQ-88,MQ,98,H-52,96,0.581171964907595,FALSE,6.630896758540175
M-MQ-89,MQ,120,H-53,96,0.2818630675910626,FALSE,7.398146935591616
M-MQ-90,MQ,103,H-55,96,0.47699277003853974,FALSE,7.529153205761644
M-GP-91,GP,112,H-26,97,0.010609211503555871,FALSE,Inf
M-GP-92,GP,99,H-43,97,0.38239628079916255,FALSE,Inf
M-GP-93,GP,100,H-44,97,0.48773918629304625,FALSE,7.345308333311461
M-MQ-94,MQ,99,H-49,97,0.5701594154830807,FALSE,6.698230372066757
M-MQ-95,MQ,119,H-50,97,0.4631444446633976,FALSE,Inf
M-GP-96,GP,121,H-55,97,0.5581929424585284,FALSE,Inf
M-BR-97,BR,102,H-60,97,0.175650081351575,FALSE,6.4679062034319985
