	US	BR	HT	GF	SR	PR	CO	EC	MQ	MX	PA	DO	VE	PE	HN	GT	NI	CU	JM	GP
US	0	1135274.667	312512.3333	1983	25004.66667	1088297.333	844096.6667	295708.3333	9074	1050649.667	145400	479344.3333	410007.3333	282110.6667	130203.6667	111196.6667	149557.6667	321669.3333	385077	9799.333333
BR	1162089.667	0	5519.333333	11463.66667	20000	6456.666667	229767	32119.66667	76	302827.3333	51224.66667	125285	41276.33333	252593.6667	3182	7059	3761.333333	24546	3365.333333	30
HT	317028	9917	0	1295.333333	2733	859.6666667	1040.666667	1302.666667	2995.666667	1540	6987.666667	18696	774.3333333	5079	1389	585.3333333	1625	24299.66667	1847	9867.666667
GF	2034.333333	10802.33333	1486.666667	0	2376.333333	11.33333333	7	2.333333333	46102.66667	0.333333333	2.666666667	292	2.666666667	4.666666667	0	0	0.333333333	25.66666667	0	9287.666667
SR	23176.33333	20497.66667	2235.666667	1109.666667	0	40	1088.333333	60.33333333	0.333333333	44.33333333	177	2571.666667	1181.666667	128	5	18	7.666666667	159	880	3.333333333
PR	1100780.333	6325.333333	875	11.66666667	77.33333333	0	31592	3345	3318.666667	46065	15356.66667	172990.6667	3624	8673	2590.666667	4822	2593.666667	4912.666667	3333	7061.333333
CO	855235.3333	216567	945	12.66666667	947	31316.33333	0	211816.3333	14.66666667	496898.6667	447778	83494.33333	151633.3333	264651.6667	15038	38714.33333	10149.66667	45475.33333	2642.333333	266.6666667
EC	300614.3333	31936.66667	1434	4	75.33333333	3316	205384.6667	0	19.66666667	52116.66667	93948.33333	15623.66667	60346.66667	137099.3333	3098.333333	6112.666667	2621.666667	25282.66667	564.6666667	6.666666667
MQ	9413	89.33333333	2549.666667	44337.66667	8.666666667	3335.333333	27.33333333	14.33333333	0	389	7.333333333	4200.333333	10.66666667	31.66666667	0	7.333333333	1.666666667	3279.666667	4.333333333	243722.6667
MX	1044382	266065.3333	1373.333333	0.333333333	60	46427.66667	492178.3333	51130.66667	71.66666667	0	109531	44025.33333	50936.66667	199206	30338.66667	135050.6667	26532	320039.6667	5749.333333	25.33333333
PA	146774	64490	9145	6.333333333	149.3333333	14860.33333	440398.6667	97139	13.33333333	99581.66667	0	75906	205679	59937	30990	48103.66667	44600	139915	12114	44.66666667
DO	488129.3333	118123.6667	17145.66667	247.6666667	2515.666667	176141.6667	88497	15792	3583.666667	46022.33333	83709.33333	0	113270.3333	52407.33333	6177	9778.333333	5929.666667	38271.33333	20887.33333	13838
VE	430477.6667	40769	889.3333333	13.66666667	1034.333333	3248	160882	615446	14	53667.33333	207352.3333	114197.6667	0	39846	803	2704.333333	2891	62275	658	14
PE	283879.3333	223236.3333	5104.333333	21	178.6666667	8797.666667	271198.6667	137241	30	198649.3333	60643.33333	50857	35080	0	3650.333333	9387	3527	45668	1741.333333	19.66666667
HN	133987.3333	3326.333333	1362	0	4.666666667	2770.666667	15309.66667	3196.666667	0	30103.33333	26816.66667	6784.333333	835.6666667	3429.333333	0	57104	14064.33333	1416.666667	960	1.333333333
GT	113036.6667	6746.333333	384	0	16.66666667	4698.666667	38632.33333	5858	8.666666667	132950.6667	48050.66667	9628.666667	2593	9116	57943.33333	0	40765.33333	3214.333333	536.6666667	0.666666667
NI	150232.3333	3680.333333	1410	0.666666667	5.666666667	2740.333333	9382	2524	9.666666667	27728.33333	41925.66667	6291.666667	2581.333333	3349	11146.66667	36159	0	4078	212.6666667	1.333333333
CU	325995	21501.66667	24183.33333	9.333333333	138.6666667	5114.666667	46453.33333	25941.33333	4352.666667	334862	145381.6667	39163.33333	66712.33333	45782.33333	861.3333333	3262.333333	4722.666667	0	4734	2160.333333
JM	387881.3333	3031.666667	1735.666667	2	851.3333333	3510	2715.333333	539.3333333	31.33333333	6311.666667	10726.66667	5911.333333	645	1645.666667	858	620.6666667	266.3333333	3850	0	4.333333333
GP	9912	84.33333333	9534.666667	13599.66667	1	6683.666667	45.66666667	10.33333333	243950.6667	170.3333333	15	14343	8.333333333	24.33333333	0.666666667	0.666666667	2	2772.333333	2	0
