"hosts.ID","inf.by","inf.time","out.time","active","p_max","t_incub"
"H-1","unkown",0,NA,1,0.796139108740102,5.45338247146644
"H-10","H-4",13,15,0,0.980235975603909,6.66640596522101
"H-100","H-14",25,NA,1,0.292963716404069,4.97519975423222
"H-1000","H-296",35,NA,1,0.689619354477856,1.30852081936439
"H-1001","H-297",35,NA,1,0.8694003757514,6.1353172803265
"H-1002","H-3",35,NA,1,0.894500031359303,4.62384252782002
"H-1003","H-30",35,NA,1,0.618587635986806,4.99444337192389
"H-1004","H-300",35,NA,1,0.704851872915359,5.2409719246168
"H-1005","H-302",35,NA,1,0.618103145306931,4.71633427432679
"H-1006","H-304",35,NA,1,0.5369584669142,4.90361003062201
"H-1007","H-307",35,NA,1,0.848622005846186,4.42383218128796
"H-1008","H-309",35,NA,1,0.655647476815755,3.61292157704794
"H-1009","H-310",35,NA,1,0.658277474577948,4.62852815303109
"H-101","H-15",25,NA,1,0.818434657894857,5.78732485417573
"H-1010","H-311",35,NA,1,0.722401258546414,6.76831041613599
"H-1011","H-313",35,NA,1,0.858926821569504,5.70970635967775
"H-1012","H-314",35,NA,1,0.896148662803683,6.06440892274738
"H-1013","H-319",35,NA,1,0.784633636407319,5.85228372893482
"H-1014","H-32",35,NA,1,0.915564176616206,6.20800328392282
"H-1015","H-320",35,NA,1,0.630211408747447,4.87385751844176
"H-1016","H-326",35,NA,1,0.807450212196326,3.66296419038881
"H-1017","H-327",35,NA,1,0.693469221898306,4.00170159483164
"H-1018","H-328",35,NA,1,0.89630067178304,7.2017485565236
"H-1019","H-329",35,NA,1,0.954353998442596,6.448317687995
"H-102","H-16",25,NA,1,0.771360235337821,5.65296468795879
"H-1020","H-33",35,NA,1,0.643417443471134,4.81458558701097
"H-1021","H-336",35,NA,1,0.396226859144459,5.67570106864581
"H-1022","H-34",35,NA,1,0.727886601192934,4.51617499223312
"H-1023","H-340",35,NA,1,0.983866666724578,5.8938240386235
"H-1024","H-346",35,NA,1,0.722516075412244,4.56665340475581
"H-1025","H-35",35,NA,1,0.58837762968202,6.14810230136738
"H-1026","H-352",35,NA,1,0.610214171828279,3.45520687541492
"H-1027","H-354",35,NA,1,0.805604096323858,4.14914877098217
"H-1028","H-36",35,NA,1,0.902533917543946,4.06502562221077
"H-1029","H-362",35,NA,1,0.522281164197174,5.52109200267367
"H-103","H-17",25,NA,1,0.914668643227894,3.86480096606423
