hosts.ID,inf.by,IIP50,slopeInfec,Pmax,slopeRecov,Infec.pop,inf.in,inf.date,asymptomatic,active,Recov50,End.date
H-1,NA,4.929321512201378,2.7354322348323716,1,4.077177066227206,NA,GP,0,FALSE,FALSE,8.373167850824982,17.722968417039453
H-2,M-GP-2,4.776276867722205,2.605762225096913,1,4.043542629500206,NA,GP,17,TRUE,FALSE,7.198571769295977,16.46302805486663
H-3,M-GP-1,4.75920556254319,2.5078506220318633,1,3.7932704938490986,NA,GP,19,FALSE,FALSE,8.15012399829521,16.853027574776394
H-4,M-GP-6,4.572319532902114,2.27987887713983,1,4.009373357612571,NA,GP,39,FALSE,FALSE,8.387127225812373,17.596695349509165
H-5,M-GP-6,4.714566798733063,2.498613771364073,1,3.996281239696576,NA,GP,40,FALSE,FALSE,8.012748410300944,17.185155190577834
H-6,M-GP-6,4.093449522485855,2.5225982372569864,1,3.958730481361272,NA,GP,41,TRUE,FALSE,8.16255909476698,17.252099415177973
H-7,M-GP-6,4.072235475367218,2.497852432264807,1,3.8428155566491764,NA,GP,43,FALSE,FALSE,8.939256313106174,17.76497547539662
H-8,M-GP-10,4.849602387816289,2.3709969995748863,1,3.9455419701906504,NA,GP,56,TRUE,FALSE,8.398693169812043,17.459033706393225
H-9,M-GP-8,4.677142413331433,2.545413759696322,1,3.807669825120291,NA,GP,57,TRUE,FALSE,8.534298980011405,17.27299497434382
H-10,M-GP-10,4.9759605548567265,2.696895881145911,1,4.135648536399876,NA,GP,57,TRUE,FALSE,9.047912181661273,18.540881768091044
H-11,M-GP-10,5.560548503355493,2.8614539751515435,1,3.728504679587176,NA,GP,61,TRUE,FALSE,8.403208386388625,16.90296633442055
H-12,M-GP-10,4.444559368034338,2.8375188404421468,1,3.81840853493752,NA,GP,62,TRUE,FALSE,9.195678098916424,17.9546393736973
H-13,M-GP-10,4.242348365797466,2.785453891888752,1,4.096582397151657,NA,GP,64,TRUE,FALSE,8.560030235736372,17.961295274409416
H-14,M-GP-10,4.6938304845914445,2.881935098945433,1,4.103204362892056,NA,GP,65,TRUE,FALSE,9.027183898028207,18.439703050790712
H-15,M-GP-10,4.744308368638928,2.866319779807878,0.9927567310820067,4.164498832528366,NA,GP,68,TRUE,FALSE,9.436713266897028,18.979481796342032
H-16,M-GP-10,4.264950892162153,2.5225609095836536,0.9999999970425053,4.1070610518072135,NA,GP,69,FALSE,FALSE,8.560202499160411,17.992534996491614
H-17,M-GP-15,5.472397835208988,2.29112980881385,1,4.093439264933559,NA,GP,69,TRUE,FALSE,8.01140108876808,17.410185796785825
H-18,M-GF-16,4.9673634422755475,2.48871182598971,1,3.8095029757383623,NA,GF,71,TRUE,FALSE,8.796787062207484,17.541495218288766
H-19,M-GP-10,4.4247968113639216,2.7643038866674665,1,4.009911411333035,NA,GP,72,TRUE,FALSE,8.430487239449516,17.629182651659526
H-20,M-MQ-18,4.809278954301313,3.0428571761133285,1,4.0705238164472055,NA,MQ,73,TRUE,FALSE,8.048028883440226,17.346810559859886
H-21,M-GP-24,4.202610034714387,2.7873396339131236,1,4.275726827513655,NA,GP,73,FALSE,FALSE,8.9564883231549,18.774020050030522
H-22,M-MQ-18,5.199990093825801,2.868021173587739,1,3.9806892615251517,NA,MQ,74,TRUE,FALSE,7.74257027497459,16.82889730685357
H-23,M-GP-23,4.535852510304615,2.409158036179213,1,4.216462116248184,NA,GP,78,FALSE,FALSE,9.76193974431523,19.448610621823025
H-24,M-GP-24,5.481375795295694,2.564653261069133,1,4.146247436549014,NA,GP,78,TRUE,FALSE,8.825959286112626,18.343008156375117
H-25,M-GP-10,5.722333065508526,2.6377076080190136,1,3.9805940670168876,NA,GP,79,TRUE,FALSE,8.2162804147926,17.331942722347616
H-26,M-GP-23,5.3664560291453105,2.5814945773624163,1,4.0356566747902125,NA,GP,79,TRUE,FALSE,8.85917057000919,18.120914454340856
H-27,M-GP-24,5.0312469995533196,2.3135197846750364,1,3.8428868068426465,NA,GP,81,TRUE,FALSE,7.671108179889042,16.490737894829266
H-28,M-MQ-31,5.227476900176595,2.330274632588025,1,3.9315117455206754,NA,MQ,81,FALSE,FALSE,8.760042479400148,17.788802787240297
H-29,M-GP-10,4.256171343669886,2.596446997639133,1,3.9911533887548365,NA,GP,82,TRUE,FALSE,9.057611901817154,18.223235581102987
H-30,M-GP-24,5.508771943930168,2.6755075814747187,1,4.15774821313226,NA,GP,82,FALSE,FALSE,7.35159735141481,16.861400563035865
H-31,M-GP-33,4.452339044496137,2.83230823063066,1,4.261792379463141,NA,GP,83,TRUE,FALSE,7.718470023888072,17.488673343275305
H-32,M-GF-37,4.583720666935783,2.397664966170511,1,3.842056503660163,NA,GF,83,TRUE,FALSE,9.041209971383175,17.865572904538904
H-33,M-GP-10,4.925647076682324,2.360024917476137,1,4.0549827328826655,NA,GP,84,TRUE,FALSE,7.9380143930131215,17.2486348156699
H-34,M-GP-34,5.467216365538074,2.427538632380319,0.9999988674714734,4.027740979281454,NA,GP,84,TRUE,FALSE,8.419549708908601,17.66475297763215
H-35,M-GP-36,4.6980420983717535,2.677953168926261,1,4.488368858782795,NA,GP,84,FALSE,FALSE,8.640935854622017,18.947837815505064
H-36,M-GP-10,5.771687141817089,2.7707775453199317,1,4.172411183051041,NA,GP,85,FALSE,FALSE,9.069349664588678,18.636262393860914
H-37,M-GP-30,4.26031878091077,2.760259105562525,1,4.328605664499378,NA,GP,85,TRUE,FALSE,7.771616531603406,17.70402504497337
H-38,M-MQ-38,4.742002253481761,2.4038905160002644,1,4.150322467425697,NA,MQ,85,TRUE,FALSE,8.280034099369216,17.811700294747563
H-39,M-GP-10,3.707344331762851,2.418480062235311,1,4.213532283557367,NA,GP,86,FALSE,FALSE,8.179130204458819,17.858227814257393
H-40,M-GP-34,5.187698402528067,2.4153324235718765,1,4.17773857772335,NA,GP,86,TRUE,FALSE,8.555651606636943,18.14967265670422
H-41,M-GP-36,4.547888859450981,2.4052469973101216,1,3.962145710249965,NA,GP,87,FALSE,FALSE,8.863695458418768,17.96410539132042
H-42,M-MQ-48,3.932240542660278,2.9719198748587443,1,4.050106337767067,NA,MQ,87,FALSE,FALSE,8.549161281244015,17.836944211300054
H-43,M-GP-10,5.310713236197014,2.6603107064143643,1,3.984889623012651,NA,GP,88,FALSE,FALSE,8.528917186120976,17.66591828384741
H-44,M-GP-36,4.196824359858315,2.665305909664205,1,4.0081613962973925,NA,GP,88,FALSE,FALSE,9.114079984355648,18.3180004790652
H-45,M-GP-42,4.755712829795634,2.485866825247182,1,4.4005599498266506,NA,GP,88,TRUE,FALSE,7.6384162905440185,17.742508042501168
H-46,M-MQ-48,5.469795266476993,2.486962842185551,1,4.264417262655931,NA,MQ,88,TRUE,FALSE,7.220275567220266,16.997829175608107
H-47,M-GP-36,4.759484562309684,2.796148902802185,1,4.278231049434598,NA,GP,89,TRUE,FALSE,8.942002633301508,18.761858826707066
H-48,M-GF-37,4.910791442034373,3.0221418307210555,1,4.052808675632753,NA,GF,89,TRUE,FALSE,7.623021663437453,16.860697910126017
H-49,M-MQ-44,4.442160862250363,2.3496681905577943,1,4.004273640202938,NA,MQ,89,FALSE,FALSE,8.948925119863393,18.147249047876432
H-50,M-GP-34,4.513942498903332,2.63027110424742,1,4.325063679489632,NA,GP,90,TRUE,FALSE,7.826036967246152,17.75387925563264
H-51,M-GF-37,5.485184100748951,2.5001738707120604,0.9999999999999994,3.841551023911026,NA,GF,90,TRUE,FALSE,8.312560751040712,17.12124139454455
H-52,M-MQ-38,4.3677509089556725,2.662914437196029,1,4.166109149758652,NA,MQ,90,TRUE,FALSE,8.994424687233451,18.56138538433915
H-53,M-MQ-44,5.799005135690927,2.603403016312396,1,3.9060025445580155,NA,MQ,90,TRUE,FALSE,8.076795912211763,17.015684658950153
H-54,M-GF-49,4.662870785351499,2.300582562891939,1,3.8170077263849302,NA,GF,90,FALSE,FALSE,8.795585573909989,17.562791701094692
H-55,M-GF-37,4.316955617903853,2.813636717050717,1,4.242239352198818,NA,GF,91,FALSE,FALSE,8.81439931360504,18.552581164480888
H-56,M-US-52,4.954300820566071,2.7699605754564187,1,3.9739492860975294,NA,US,92,TRUE,FALSE,7.773842038963069,16.86769775865294
H-57,M-GP-34,3.8869968563391764,2.745521430763284,1,4.037526518988826,NA,GP,93,FALSE,FALSE,8.767400630883806,18.03706472624724
H-58,M-GP-54,4.830946446899107,2.3517041911583636,1,3.4914928380495556,NA,GP,93,FALSE,FALSE,8.485495828706439,16.498785520337538
H-59,M-GF-37,4.538308405008255,2.4549941005530695,1,4.154180728937667,NA,GF,94,FALSE,FALSE,8.883025480154357,18.4249478274313
H-60,M-US-52,5.01772530389624,3.041757514257199,0.9999999999999923,3.847044395629373,NA,US,94,TRUE,FALSE,9.434236522405264,18.240776468002576
H-61,M-MQ-38,4.453476765109077,2.3259198661752682,1,3.7090109108756755,NA,MQ,95,TRUE,FALSE,8.640445303082036,17.158725698473443
H-62,M-MQ-55,4.777883959260146,2.2819988491881147,0.9999999992468763,3.8601719867012716,NA,MQ,95,TRUE,FALSE,8.994647328512103,17.86155701067314
H-63,M-GF-37,4.731740129832625,2.308919300579218,1,3.798841460131998,NA,GF,96,FALSE,FALSE,9.158928046137401,17.884834227949888
H-64,M-US-52,4.5203234692054295,2.830408640194917,1,4.102436319458246,NA,US,96,TRUE,FALSE,9.0810823417193145,18.49604878143301
